PC Time, Mocap_X, Mocap_y, Mocap_z, Mocap_yaw, Mocap_pitch, Mocap_roll, X_ref, Y_ref, Z_ref 
0.029000,-0.024221,0.009556,0.088095,0.220658,0.100285,0.003630,0.000000,0.000000,0.500000
0.039000,-0.024286,0.009554,0.088109,0.196882,0.008170,-0.015413,0.000000,0.000000,0.500000
0.049000,-0.024219,0.009584,0.088093,0.224542,0.127684,-0.005443,0.000000,0.000000,0.500000
0.059000,-0.024132,0.009538,0.088107,0.266433,0.058408,-0.002674,0.000000,0.000000,0.500000
0.069000,-0.024206,0.009574,0.088118,0.233352,0.101044,-0.024985,0.000000,0.000000,0.500000
0.079000,-0.024297,0.009548,0.088122,0.183582,0.061661,-0.044388,0.000000,0.000000,0.500000
0.089000,-0.024241,0.009560,0.088125,0.218603,0.033637,-0.030232,0.000000,0.000000,0.500000
0.099000,-0.024158,0.009565,0.088133,0.275915,0.053992,-0.061713,0.000000,0.000000,0.500000
0.109000,-0.024217,0.009554,0.088133,0.238352,0.011380,-0.044741,0.000000,0.000000,0.500000
0.119000,-0.024294,0.009555,0.088140,0.188087,0.060363,-0.060544,0.000000,0.000000,0.500000
0.129000,-0.024256,0.009579,0.088093,0.224940,0.186443,0.012519,0.000000,0.000000,0.500000
0.139000,-0.024191,0.009571,0.088131,0.257229,0.091729,-0.036032,0.000000,0.000000,0.500000
0.149000,-0.024188,0.009549,0.088166,0.261972,-0.006880,-0.032245,0.000000,0.000000,0.500000
0.160000,-0.024263,0.009572,0.088078,0.229569,0.196561,-0.002391,0.000000,0.000000,0.500000
0.169000,-0.024299,0.009556,0.088144,0.196788,0.095430,-0.015758,0.000000,0.000000,0.500000
0.179000,-0.024224,0.009579,0.088120,0.237118,0.119412,-0.005033,0.000000,0.000000,0.500000
0.189000,-0.024182,0.009590,0.088165,0.259371,0.023884,-0.045710,0.000000,0.000000,0.500000
0.199000,-0.024214,0.009568,0.088101,0.236894,0.136328,0.005279,0.000000,0.000000,0.500000
0.209000,-0.024249,0.009584,0.088127,0.223664,0.110201,-0.010968,0.000000,0.000000,0.500000
0.219000,-0.024238,0.009553,0.088198,0.213356,-0.019619,-0.077339,0.000000,0.000000,0.500000
