PC Time, Mocap_X, Mocap_y, Mocap_z, Mocap_yaw, Mocap_pitch, Mocap_roll, X_ref, Y_ref, Z_ref ,,,,
0.032,-0.109601,0.40474,0.092504,3.056685,-2.201074,-1.611883,0,0,0.5,,,,
0.042,-0.109581,0.404721,0.092499,3.033153,-2.249786,-1.59849,0,0,0.5,,,,
0.052,-0.109591,0.404643,0.092504,2.902222,-2.419746,-1.678746,0,0,0.5,,,,
0.062,-0.109553,0.404554,0.092596,2.810355,-2.60122,-1.662255,0,0,0.5,,,,
0.072,-0.10959,0.404565,0.09259,2.800201,-2.54946,-1.638927,0,0,0.5,,,,
0.082,-0.109587,0.40455,0.092684,2.711156,-2.570922,-1.672881,0,0,0.5,,,,
0.092,-0.109602,0.404741,0.092499,3.058219,-2.187945,-1.609902,0,0,0.5,,,,
0.102,-0.109584,0.404489,0.092463,2.737672,-2.1416,-1.565579,0,0,0.5,,,,
0.112,-0.109608,0.404728,0.092501,3.040721,-2.21511,-1.614932,0,0,0.5,,,,
0.122,-0.109596,0.404746,0.092492,3.050063,-2.195094,-1.614983,0,0,0.5,,,,
0.132,-0.109611,0.40477,0.092514,3.076045,-2.185381,-1.601503,0,0,0.5,,,,
0.142,-0.109586,0.404614,0.092539,2.835918,-2.508257,-1.77463,0,0,0.5,,,,
0.152,-0.1096,0.404742,0.092516,3.055539,-2.191639,-1.584846,0,0,0.5,,,,
0.162,-0.109591,0.404725,0.092517,3.042145,-2.224497,-1.610498,0,0,0.5,,,,
0.172,-0.109612,0.404755,0.092514,3.057415,-2.193633,-1.608618,0,0,0.5,,,,
0.182,-0.109611,0.404754,0.092513,3.054362,-2.198708,-1.603817,0,0,0.5,,,,
0.192,-0.109603,0.404723,0.092521,3.033242,-2.221125,-1.579102,0,0,0.5,,,,
0.202,-0.109585,0.404652,0.09252,2.925689,-2.438998,-1.687464,0,0,0.5,,,,
0.212,-0.109578,0.404717,0.092521,3.040137,-2.221541,-1.568099,0,0,0.5,,,,
0.222,-0.109568,0.404723,0.092507,3.031852,-2.218108,-1.596407,0,0,0.5,,,,
0.232,-0.109596,0.404751,0.092512,3.069841,-2.197196,-1.607481,0,0,0.5,,,,
0.242,-0.109601,0.404636,0.09252,2.885674,-2.423704,-1.688996,0,0,0.5,,,,
0.252,-0.109598,0.404756,0.09251,3.058344,-2.198918,-1.600969,0,0,0.5,,,,
0.262,-0.109503,0.404566,0.093166,2.781249,-3.748162,-1.987005,0,0,0.5,,,,
0.272,-0.109583,0.404734,0.09251,3.05037,-2.220139,-1.606283,0,0,0.5,,,,
0.282,-0.109583,0.404753,0.092495,3.073694,-2.167931,-1.604614,0,0,0.5,,,,
0.292,-0.109587,0.404656,0.092507,2.920136,-2.422129,-1.69637,0,0,0.5,,,,
0.302,-0.109588,0.404687,0.092499,2.969997,-2.382263,-1.663097,0,0,0.5,,,,
0.312,-0.109621,0.404764,0.092496,3.075609,-2.19457,-1.595757,0,0,0.5,,,,
0.322,-0.109602,0.404727,0.09251,3.022641,-2.221096,-1.583964,0,0,0.5,,,,
0.333,-0.109504,0.404548,0.092547,2.677808,-2.412558,-1.645746,0,0,0.5,,,,
0.342,-0.109609,0.404753,0.092513,3.068856,-2.186904,-1.602888,0,0,0.5,,,,
0.352,-0.10959,0.4047,0.092397,3.010142,-2.254231,-1.77883,0,0,0.5,,,,
0.362,-0.109604,0.404735,0.09251,3.051442,-2.213224,-1.60839,0,0,0.5,,,,
0.372,-0.109589,0.404752,0.092506,3.055363,-2.198308,-1.572516,0,0,0.5,,,,
0.382,-0.109611,0.404744,0.092505,3.052864,-2.205319,-1.604891,0,0,0.5,,,,
0.392,-0.109606,0.404736,0.092513,3.03806,-2.201168,-1.594007,0,0,0.5,,,,
0.402,-0.109608,0.404748,0.092505,3.054033,-2.196218,-1.608178,0,0,0.5,,,,
0.412,-0.109588,0.404716,0.09252,3.043908,-2.205281,-1.570589,0,0,0.5,,,,
0.422,-0.109587,0.404712,0.092513,3.02258,-2.214874,-1.598584,0,0,0.5,,,,
0.432,-0.109615,0.404751,0.092505,3.07314,-2.183847,-1.596879,0,0,0.5,,,,
0.442,-0.109611,0.404765,0.092501,3.068904,-2.17146,-1.60039,0,0,0.5,,,,
0.452,-0.109609,0.404753,0.092505,3.063251,-2.192121,-1.589704,0,0,0.5,,,,
0.462,-0.1096,0.404622,0.092589,2.840018,-2.61543,-1.726616,0,0,0.5,,,,
0.472,-0.109594,0.40473,0.092515,3.058254,-2.216445,-1.603316,0,0,0.5,,,,
0.482,-0.109578,0.404692,0.092519,3.021638,-2.231441,-1.59171,0,0,0.5,,,,
0.492,-0.109584,0.404717,0.092515,3.021036,-2.210513,-1.59044,0,0,0.5,,,,
0.502,-0.109636,0.40459,0.092423,2.812003,-2.201181,-1.556995,0,0,0.5,,,,
0.512,-0.109592,0.404734,0.092514,3.041494,-2.223818,-1.615362,0,0,0.5,,,,
0.522,-0.109606,0.404741,0.092513,3.065088,-2.20139,-1.605078,0,0,0.5,,,,
0.532,-0.109598,0.404739,0.092516,3.051711,-2.202911,-1.613999,0,0,0.5,,,,
0.542,-0.109593,0.404575,0.092462,2.799345,-2.252035,-1.60356,0,0,0.5,,,,
0.552,-0.109592,0.404515,0.09237,2.75489,-1.93618,-1.481197,0,0,0.5,,,,
0.562,-0.109572,0.40468,0.092505,2.976711,-2.38359,-1.657331,0,0,0.5,,,,
0.572,-0.109595,0.404758,0.092515,3.064347,-2.191414,-1.595699,0,0,0.5,,,,
0.582,-0.10959,0.404637,0.092515,2.900013,-2.443267,-1.691647,0,0,0.5,,,,
0.592,-0.109575,0.404662,0.092513,2.969496,-2.421675,-1.662327,0,0,0.5,,,,
0.602,-0.10959,0.404726,0.092517,3.044091,-2.188355,-1.580435,0,0,0.5,,,,
0.612,-0.109577,0.404701,0.092517,3.024136,-2.229998,-1.587845,0,0,0.5,,,,
0.622,-0.109582,0.404722,0.09251,3.037135,-2.193809,-1.587718,0,0,0.5,,,,
0.632,-0.109586,0.40474,0.092412,3.034038,-2.17467,-1.723256,0,0,0.5,,,,
0.642,-0.109608,0.404753,0.092513,3.066238,-2.201634,-1.611126,0,0,0.5,,,,
0.652,-0.109604,0.404756,0.092509,3.061114,-2.194195,-1.604381,0,0,0.5,,,,
0.662,-0.109597,0.40474,0.092515,3.0485,-2.193213,-1.611582,0,0,0.5,,,,
0.672,-0.1096,0.404737,0.09251,3.06342,-2.200255,-1.611901,0,0,0.5,,,,
0.682,-0.109599,0.404748,0.092504,3.059326,-2.19125,-1.609885,0,0,0.5,,,,
0.692,-0.109604,0.404762,0.092508,3.063213,-2.190388,-1.609084,0,0,0.5,,,,
0.702,-0.109575,0.404732,0.092389,3.031295,-2.217612,-1.750972,0,0,0.5,,,,
0.712,-0.109597,0.404748,0.092508,3.066254,-2.201679,-1.588699,0,0,0.5,,,,
0.722,-0.109598,0.404734,0.092506,3.045736,-2.189768,-1.608774,0,0,0.5,,,,
0.732,-0.109598,0.404752,0.092514,3.064985,-2.193613,-1.612306,0,0,0.5,,,,
0.742,-0.109585,0.404737,0.09251,3.047688,-2.204491,-1.613137,0,0,0.5,,,,
0.752,-0.109586,0.404726,0.092513,3.038078,-2.218064,-1.60364,0,0,0.5,,,,
0.762,-0.109595,0.404764,0.092498,3.071466,-2.191921,-1.584379,0,0,0.5,,,,
0.772,-0.109607,0.404759,0.092501,3.061251,-2.178435,-1.603491,0,0,0.5,,,,
0.782,-0.109604,0.404751,0.092506,3.058383,-2.195255,-1.611907,0,0,0.5,,,,
0.792,-0.109583,0.404626,0.092518,2.897467,-2.43725,-1.702742,0,0,0.5,,,,
0.802,-0.109584,0.404725,0.092516,3.034294,-2.212386,-1.579874,0,0,0.5,,,,
0.812,-0.109603,0.404758,0.092512,3.072865,-2.180297,-1.606816,0,0,0.5,,,,
0.822,-0.10959,0.404743,0.092505,3.053111,-2.204109,-1.598516,0,0,0.5,,,,
0.832,-0.109596,0.404727,0.092511,3.035688,-2.194879,-1.606151,0,0,0.5,,,,
0.842,-0.109604,0.404637,0.092565,2.794466,-2.603235,-1.675051,0,0,0.5,,,,
0.852,-0.109596,0.404732,0.092509,3.051987,-2.195928,-1.612392,0,0,0.5,,,,
0.862,-0.109585,0.404749,0.09251,3.060589,-2.177428,-1.592892,0,0,0.5,,,,
0.872,-0.109691,0.404543,0.092455,2.892737,-2.183492,-1.600862,0,0,0.5,,,,
0.882,-0.109584,0.404721,0.092507,3.045706,-2.217309,-1.581461,0,0,0.5,,,,
0.892,-0.109586,0.404622,0.092642,2.849402,-2.511585,-1.681998,0,0,0.5,,,,
0.902,-0.109603,0.40477,0.092511,3.077741,-2.191155,-1.601212,0,0,0.5,,,,
0.912,-0.109609,0.404602,0.092612,2.867582,-2.574011,-1.677634,0,0,0.5,,,,
0.922,-0.109585,0.404604,0.092538,2.832926,-2.490612,-1.750825,0,0,0.5,,,,
0.932,-0.109608,0.404739,0.092518,3.065235,-2.204337,-1.620953,0,0,0.5,,,,
0.942,-0.109593,0.404737,0.09252,3.054123,-2.189409,-1.581181,0,0,0.5,,,,
0.952,-0.109597,0.404724,0.09251,3.045848,-2.221366,-1.601462,0,0,0.5,,,,
