PC Time, Mocap_X, Mocap_y, Mocap_z, Mocap_yaw, Mocap_pitch, Mocap_roll, X_ref, Y_ref, Z_ref 
0.032000,-0.109601,0.404740,0.092504,3.056685,-2.201074,-1.611883,0.000000,0.000000,0.500000
0.042000,-0.109581,0.404721,0.092499,3.033153,-2.249786,-1.598490,0.000000,0.000000,0.500000
0.052000,-0.109591,0.404643,0.092504,2.902222,-2.419746,-1.678746,0.000000,0.000000,0.500000
0.062000,-0.109553,0.404554,0.092596,2.810355,-2.601220,-1.662255,0.000000,0.000000,0.500000
0.072000,-0.109590,0.404565,0.092590,2.800201,-2.549460,-1.638927,0.000000,0.000000,0.500000
0.082000,-0.109587,0.404550,0.092684,2.711156,-2.570922,-1.672881,0.000000,0.000000,0.500000
0.092000,-0.109602,0.404741,0.092499,3.058219,-2.187945,-1.609902,0.000000,0.000000,0.500000
0.102000,-0.109584,0.404489,0.092463,2.737672,-2.141600,-1.565579,0.000000,0.000000,0.500000
0.112000,-0.109608,0.404728,0.092501,3.040721,-2.215110,-1.614932,0.000000,0.000000,0.500000
0.122000,-0.109596,0.404746,0.092492,3.050063,-2.195094,-1.614983,0.000000,0.000000,0.500000
0.132000,-0.109611,0.404770,0.092514,3.076045,-2.185381,-1.601503,0.000000,0.000000,0.500000
0.142000,-0.109586,0.404614,0.092539,2.835918,-2.508257,-1.774630,0.000000,0.000000,0.500000
0.152000,-0.109600,0.404742,0.092516,3.055539,-2.191639,-1.584846,0.000000,0.000000,0.500000
0.162000,-0.109591,0.404725,0.092517,3.042145,-2.224497,-1.610498,0.000000,0.000000,0.500000
0.172000,-0.109612,0.404755,0.092514,3.057415,-2.193633,-1.608618,0.000000,0.000000,0.500000
0.182000,-0.109611,0.404754,0.092513,3.054362,-2.198708,-1.603817,0.000000,0.000000,0.500000
0.192000,-0.109603,0.404723,0.092521,3.033242,-2.221125,-1.579102,0.000000,0.000000,0.500000
0.202000,-0.109585,0.404652,0.092520,2.925689,-2.438998,-1.687464,0.000000,0.000000,0.500000
0.212000,-0.109578,0.404717,0.092521,3.040137,-2.221541,-1.568099,0.000000,0.000000,0.500000
0.222000,-0.109568,0.404723,0.092507,3.031852,-2.218108,-1.596407,0.000000,0.000000,0.500000
0.232000,-0.109596,0.404751,0.092512,3.069841,-2.197196,-1.607481,0.000000,0.000000,0.500000
0.242000,-0.109601,0.404636,0.092520,2.885674,-2.423704,-1.688996,0.000000,0.000000,0.500000
0.252000,-0.109598,0.404756,0.092510,3.058344,-2.198918,-1.600969,0.000000,0.000000,0.500000
0.262000,-0.109503,0.404566,0.093166,2.781249,-3.748162,-1.987005,0.000000,0.000000,0.500000
0.272000,-0.109583,0.404734,0.092510,3.050370,-2.220139,-1.606283,0.000000,0.000000,0.500000
0.282000,-0.109583,0.404753,0.092495,3.073694,-2.167931,-1.604614,0.000000,0.000000,0.500000
0.292000,-0.109587,0.404656,0.092507,2.920136,-2.422129,-1.696370,0.000000,0.000000,0.500000
0.302000,-0.109588,0.404687,0.092499,2.969997,-2.382263,-1.663097,0.000000,0.000000,0.500000
0.312000,-0.109621,0.404764,0.092496,3.075609,-2.194570,-1.595757,0.000000,0.000000,0.500000
0.322000,-0.109602,0.404727,0.092510,3.022641,-2.221096,-1.583964,0.000000,0.000000,0.500000
0.333000,-0.109504,0.404548,0.092547,2.677808,-2.412558,-1.645746,0.000000,0.000000,0.500000
0.342000,-0.109609,0.404753,0.092513,3.068856,-2.186904,-1.602888,0.000000,0.000000,0.500000
0.352000,-0.109590,0.404700,0.092397,3.010142,-2.254231,-1.778830,0.000000,0.000000,0.500000
0.362000,-0.109604,0.404735,0.092510,3.051442,-2.213224,-1.608390,0.000000,0.000000,0.500000
0.372000,-0.109589,0.404752,0.092506,3.055363,-2.198308,-1.572516,0.000000,0.000000,0.500000
0.382000,-0.109611,0.404744,0.092505,3.052864,-2.205319,-1.604891,0.000000,0.000000,0.500000
0.392000,-0.109606,0.404736,0.092513,3.038060,-2.201168,-1.594007,0.000000,0.000000,0.500000
0.402000,-0.109608,0.404748,0.092505,3.054033,-2.196218,-1.608178,0.000000,0.000000,0.500000
0.412000,-0.109588,0.404716,0.092520,3.043908,-2.205281,-1.570589,0.000000,0.000000,0.500000
0.422000,-0.109587,0.404712,0.092513,3.022580,-2.214874,-1.598584,0.000000,0.000000,0.500000
0.432000,-0.109615,0.404751,0.092505,3.073140,-2.183847,-1.596879,0.000000,0.000000,0.500000
0.442000,-0.109611,0.404765,0.092501,3.068904,-2.171460,-1.600390,0.000000,0.000000,0.500000
0.452000,-0.109609,0.404753,0.092505,3.063251,-2.192121,-1.589704,0.000000,0.000000,0.500000
0.462000,-0.109600,0.404622,0.092589,2.840018,-2.615430,-1.726616,0.000000,0.000000,0.500000
0.472000,-0.109594,0.404730,0.092515,3.058254,-2.216445,-1.603316,0.000000,0.000000,0.500000
0.482000,-0.109578,0.404692,0.092519,3.021638,-2.231441,-1.591710,0.000000,0.000000,0.500000
0.492000,-0.109584,0.404717,0.092515,3.021036,-2.210513,-1.590440,0.000000,0.000000,0.500000
0.502000,-0.109636,0.404590,0.092423,2.812003,-2.201181,-1.556995,0.000000,0.000000,0.500000
0.512000,-0.109592,0.404734,0.092514,3.041494,-2.223818,-1.615362,0.000000,0.000000,0.500000
0.522000,-0.109606,0.404741,0.092513,3.065088,-2.201390,-1.605078,0.000000,0.000000,0.500000
0.532000,-0.109598,0.404739,0.092516,3.051711,-2.202911,-1.613999,0.000000,0.000000,0.500000
