PC Time, Mocap_X, Mocap_y, Mocap_z, Mocap_yaw, Mocap_pitch, Mocap_roll 
0.037000,0.009847,-0.033695,0.088908,3.136102,-0.401513,-0.157490
0.047000,0.009824,-0.033691,0.088903,3.118089,-0.362968,-0.130815
0.057000,0.009849,-0.033712,0.088898,3.110790,-0.372900,-0.131472
0.067000,0.009831,-0.033695,0.088911,3.124405,-0.380550,-0.130260
0.077000,0.009844,-0.033715,0.088902,3.128874,-0.359605,-0.126328
0.088000,0.009850,-0.033691,0.088893,3.117148,-0.367877,-0.137777
0.098000,0.009854,-0.033698,0.088909,3.151374,-0.413398,-0.156153
0.108000,0.009832,-0.033684,0.088911,3.135230,-0.380890,-0.127897
0.118000,0.009849,-0.033690,0.088918,3.145850,-0.385861,-0.147284
0.128000,0.009858,-0.033692,0.088916,3.136107,-0.416208,-0.162309
0.137000,0.009850,-0.033692,0.088913,3.140736,-0.399709,-0.151805
0.147000,0.009847,-0.033692,0.088905,3.115249,-0.385147,-0.139946
0.158000,0.009844,-0.033706,0.088897,3.112475,-0.385219,-0.159269
0.168000,0.009828,-0.033668,0.088915,3.112331,-0.389729,-0.153735
0.177000,0.009872,-0.033674,0.088908,3.114393,-0.389842,-0.150774
0.188000,0.009838,-0.033683,0.088921,3.136283,-0.393722,-0.154670
0.198000,0.009853,-0.033673,0.088915,3.102767,-0.366804,-0.149805
0.207000,0.009845,-0.033680,0.088901,3.103120,-0.384268,-0.132074
0.217000,0.009837,-0.033666,0.088909,3.119119,-0.394788,-0.139141
0.227000,0.009841,-0.033693,0.088919,3.139368,-0.389156,-0.151433
0.237000,0.009870,-0.033682,0.088910,3.117909,-0.398763,-0.158446
0.247000,0.009828,-0.033676,0.088919,3.106868,-0.376871,-0.137390
0.257000,0.009823,-0.033685,0.088925,3.157566,-0.414437,-0.169339
0.267000,0.009827,-0.033700,0.088907,3.126623,-0.365226,-0.122396
0.278000,0.009844,-0.033703,0.088924,3.131401,-0.401007,-0.164136
