PC Time, Mocap_X, Mocap_y, Mocap_z, Mocap_yaw, Mocap_pitch, Mocap_roll 
0.038000,0.020162,0.018032,0.088438,0.967565,0.708420,-0.145006
0.048000,0.020150,0.018049,0.088381,0.903952,0.825021,-0.163367
0.058000,0.020156,0.018055,0.088433,0.911310,0.733709,-0.157443
0.068000,0.020142,0.017979,0.088369,0.899168,0.859549,-0.142035
0.078000,0.020150,0.018053,0.088413,0.911165,0.787085,-0.104937
0.088000,0.020136,0.017983,0.088373,0.898763,0.856647,-0.142349
0.098000,0.020146,0.018002,0.088379,0.899816,0.832685,-0.121240
0.108000,0.020145,0.018002,0.088372,0.892095,0.872637,-0.138707
0.118000,0.020139,0.017991,0.088379,0.906889,0.852524,-0.133798
0.128000,0.020112,0.018052,0.088352,0.949226,0.999933,-0.076947
0.138000,0.020151,0.018001,0.088381,0.903203,0.834984,-0.137610
0.149000,0.020146,0.017998,0.088376,0.883477,0.828988,-0.170341
0.159000,0.020149,0.018045,0.088387,0.904973,0.837109,-0.150715
0.168000,0.020146,0.018005,0.088383,0.892567,0.864609,-0.152259
0.178000,0.020139,0.018019,0.088372,0.874381,0.895987,-0.133474
0.188000,0.020147,0.017986,0.088377,0.903574,0.828016,-0.180252
0.198000,0.020144,0.017991,0.088367,0.876292,0.866234,-0.168512
0.208000,0.020141,0.017962,0.088318,0.818862,0.950783,-0.162897
0.218000,0.020142,0.017962,0.088363,0.870577,0.859696,-0.157117
0.228000,0.020131,0.018059,0.088390,0.937161,0.814925,-0.104760
0.238000,0.020153,0.017961,0.088366,0.878136,0.862235,-0.175304
0.248000,0.020155,0.018045,0.088437,0.922266,0.787272,-0.144985
0.258000,0.020159,0.018081,0.088403,0.903450,0.795313,-0.185935
0.268000,0.020146,0.018006,0.088331,0.812103,0.927084,-0.179802
0.282000,0.020140,0.017994,0.088348,0.847610,0.904485,-0.163487
0.288000,0.020156,0.018051,0.088368,0.874917,0.798401,-0.160608
0.298000,0.020149,0.018008,0.088374,0.888024,0.858114,-0.151243
0.308000,0.020132,0.018031,0.088386,0.903760,0.871434,-0.119966
0.318000,0.020165,0.017975,0.088381,0.934457,0.771737,-0.181404
0.328000,0.020129,0.017974,0.088409,0.951250,0.780509,-0.167736
0.338000,0.020154,0.017965,0.088332,0.829429,0.897215,-0.181908
0.348000,0.020149,0.017961,0.088337,0.849143,0.906051,-0.155501
0.358000,0.020162,0.018004,0.088329,0.805787,0.903591,-0.212898
0.368000,0.020155,0.017958,0.088365,0.889749,0.861435,-0.145573
0.378000,0.020133,0.018097,0.088411,0.920312,0.779397,-0.126849
0.388000,0.020173,0.018052,0.088525,0.953205,0.486424,-0.180407
0.398000,0.020142,0.018059,0.088391,0.882889,0.866639,-0.118125
0.408000,0.020152,0.018028,0.088382,0.897404,0.850095,-0.154558
0.418000,0.020158,0.017990,0.088404,0.917237,0.803461,-0.155555
0.428000,0.020143,0.018015,0.088440,0.950713,0.781750,-0.109225
0.438000,0.020157,0.018027,0.088401,0.933618,0.752995,-0.187406
0.448000,0.020141,0.018016,0.088393,0.922620,0.853698,-0.111243
0.458000,0.020167,0.017990,0.088459,0.971248,0.690428,-0.149686
0.468000,0.020159,0.017949,0.088361,0.898370,0.831594,-0.158812
0.478000,0.020145,0.018046,0.088413,0.930327,0.803417,-0.127102
0.488000,0.020152,0.017957,0.088337,0.816384,0.954005,-0.155722
0.498000,0.020137,0.018024,0.088397,0.897504,0.879056,-0.110852
0.508000,0.020155,0.018120,0.088426,0.929761,0.724401,-0.139615
0.518000,0.020147,0.018028,0.088405,0.917788,0.802790,-0.129642
0.528000,0.020130,0.018062,0.088421,0.942690,0.818946,-0.119892
0.538000,0.020151,0.018038,0.088401,0.929059,0.816290,-0.139753
0.548000,0.020148,0.017931,0.088342,0.844069,0.881713,-0.172256
0.558000,0.020167,0.017978,0.088394,0.903843,0.832657,-0.162678
0.568000,0.020158,0.018007,0.088469,0.985156,0.679648,-0.135726
0.578000,0.020162,0.018003,0.088379,0.909264,0.823182,-0.146576
0.588000,0.020148,0.018016,0.088393,0.931650,0.862353,-0.127123
0.598000,0.020149,0.018094,0.088478,0.960647,0.747467,-0.106115
0.608000,0.020144,0.017988,0.088359,0.865617,0.900427,-0.155136
0.618000,0.020172,0.018021,0.088424,0.933519,0.755755,-0.155560
0.628000,0.020144,0.018065,0.088449,0.919283,0.664721,-0.130428
0.638000,0.020147,0.017996,0.088372,0.894262,0.822444,-0.150541
0.649000,0.020148,0.017998,0.088371,0.862352,0.887160,-0.135527
0.658000,0.020156,0.017957,0.088356,0.871543,0.867829,-0.176785
0.668000,0.020149,0.018007,0.088402,0.907379,0.843649,-0.119082
0.678000,0.020146,0.017990,0.088380,0.882924,0.837270,-0.131490
