PC Time, Mocap_X, Mocap_y, Mocap_z, Mocap_yaw, Mocap_pitch, Mocap_roll 
0.050000,-0.006198,-0.015716,0.088961,2.960943,-0.015347,0.372965
0.060000,-0.006170,-0.015744,0.088987,2.941089,0.013878,0.372180
0.070000,-0.006126,-0.015695,0.088944,2.972680,-0.008702,0.401249
0.080000,-0.006134,-0.015721,0.088972,2.947425,0.070755,0.371048
0.090000,-0.006107,-0.015691,0.088932,2.981066,0.024736,0.402489
0.100000,-0.006115,-0.015706,0.088952,2.942454,-0.018089,0.371067
0.110000,-0.006205,-0.015724,0.088969,2.952295,-0.037987,0.394219
0.120000,-0.006162,-0.015710,0.088967,2.973891,0.030156,0.383714
0.131000,-0.006167,-0.015749,0.088991,2.967592,0.218578,0.417246
0.141000,-0.006122,-0.015711,0.088959,2.943276,0.052717,0.380568
0.150000,-0.006145,-0.015735,0.088966,2.957379,0.060542,0.388779
0.161000,-0.006116,-0.015749,0.088972,2.920373,-0.011757,0.352940
0.171000,-0.006113,-0.015723,0.088975,2.947238,0.027233,0.355092
0.180000,-0.006202,-0.015723,0.088965,2.943732,0.009650,0.415637
0.190000,-0.006099,-0.015702,0.088936,2.949287,-0.003280,0.372805
0.200000,-0.006127,-0.015700,0.088958,2.986066,0.021665,0.378637
0.210000,-0.006112,-0.015702,0.088935,2.981021,0.011807,0.393012
0.220000,-0.006175,-0.015725,0.088974,2.950008,-0.172725,0.365639
0.230000,-0.006237,-0.015727,0.088948,2.930347,0.103154,0.445886
0.240000,-0.006204,-0.015757,0.088961,2.954631,0.007968,0.416742
0.251000,-0.006119,-0.015724,0.088939,2.943875,-0.109061,0.388861
0.261000,-0.006143,-0.015662,0.088943,2.918589,-0.003371,0.405508
0.270000,-0.006192,-0.015720,0.088956,2.939168,-0.057293,0.365530
0.280000,-0.006126,-0.015707,0.088954,2.972914,0.002896,0.371156
0.290000,-0.006134,-0.015666,0.088928,2.974141,-0.035062,0.403556
0.300000,-0.006067,-0.015740,0.089005,2.957857,0.889831,0.105816
0.310000,-0.006125,-0.015717,0.088941,2.924731,-0.091475,0.373237
0.320000,-0.006190,-0.015726,0.088963,2.959121,-0.078868,0.400915
0.331000,-0.006079,-0.015672,0.088929,2.973465,-0.001564,0.413939
0.340000,-0.006180,-0.015722,0.088952,2.967094,0.056104,0.392434
0.350000,-0.006129,-0.015757,0.088973,2.938144,0.099753,0.335318
0.360000,-0.006133,-0.015708,0.088955,2.986692,0.083771,0.405012
0.370000,-0.006146,-0.015719,0.088893,2.950770,0.115803,0.390899
0.380000,-0.006129,-0.015748,0.088970,2.952077,0.034533,0.363298
0.390000,-0.006129,-0.015650,0.088951,2.993907,0.068443,0.407390
0.400000,-0.006175,-0.015742,0.089001,2.957970,0.210236,0.396718
0.410000,-0.006122,-0.015750,0.088954,2.938145,-0.083531,0.360816
0.420000,-0.006110,-0.015779,0.088947,2.878888,-0.060735,0.361979
0.430000,-0.006064,-0.015653,0.088913,2.948234,0.043314,0.435175
0.441000,-0.006121,-0.015725,0.088942,2.926712,-0.139867,0.370018
0.450000,-0.006178,-0.015731,0.088984,2.941772,-0.067050,0.371141
0.460000,-0.006114,-0.015752,0.088960,2.936636,-0.023406,0.357963
0.470000,-0.006147,-0.015675,0.088973,2.912341,-0.007636,0.375138
0.480000,-0.006219,-0.015722,0.088974,2.946066,0.097515,0.422697
0.490000,-0.006217,-0.015726,0.088966,2.942468,0.015194,0.407757
0.501000,-0.006187,-0.015729,0.088970,2.970081,0.062189,0.392807
0.511000,-0.006145,-0.015764,0.088965,2.927624,-0.000898,0.371974
0.520000,-0.006124,-0.015725,0.088959,2.964999,0.029057,0.380296
0.530000,-0.006219,-0.015725,0.088965,2.944376,-0.036522,0.411204
0.541000,-0.006141,-0.015677,0.088956,2.960767,0.084101,0.420930
0.550000,-0.006265,-0.015749,0.088968,2.943707,0.087042,0.458264
0.560000,-0.006148,-0.015730,0.088951,2.949812,-0.093045,0.395370
0.570000,-0.006125,-0.015753,0.088966,2.933700,0.007751,0.361933
0.581000,-0.006120,-0.015745,0.088975,2.951745,0.069704,0.346329
0.590000,-0.006104,-0.015731,0.088978,2.972546,-0.032633,0.347528
0.600000,-0.006148,-0.015729,0.088958,2.923095,-0.106352,0.405268
0.610000,-0.006128,-0.015762,0.088972,2.923299,0.070439,0.353702
0.620000,-0.006107,-0.015707,0.088943,2.924229,-0.041669,0.386122
0.630000,-0.006189,-0.015696,0.088971,2.947750,-0.036206,0.396305
0.640000,-0.006236,-0.015713,0.088961,2.931075,0.119063,0.421689
0.650000,-0.006200,-0.015733,0.088991,2.948233,0.126067,0.401711
0.660000,-0.006157,-0.015720,0.088938,2.944647,-0.083716,0.405046
0.670000,-0.006119,-0.015723,0.088928,2.988962,-0.022626,0.395993
0.681000,-0.006132,-0.015745,0.088979,2.936623,0.044054,0.362991
0.691000,-0.006125,-0.015722,0.088969,2.945755,0.110526,0.364119
0.700000,-0.006144,-0.015738,0.088950,2.994009,0.016963,0.383776
0.710000,-0.006117,-0.015706,0.088989,2.964190,0.144196,0.372791
0.721000,-0.006157,-0.015755,0.088956,2.907109,0.000844,0.372470
0.730000,-0.006144,-0.015685,0.088963,2.950212,0.021966,0.362836
0.740000,-0.006164,-0.015701,0.088940,2.930398,-0.211845,0.403081
0.750000,-0.006223,-0.015736,0.088968,2.946242,-0.109691,0.407247
0.760000,-0.006126,-0.015691,0.088961,2.967229,0.062517,0.369678
0.770000,-0.006123,-0.015740,0.088945,2.961647,0.003415,0.377726
0.780000,-0.006187,-0.015716,0.088985,2.931790,0.156581,0.401714
0.790000,-0.006091,-0.015728,0.088977,2.956113,0.049177,0.355248
0.800000,-0.006127,-0.015714,0.088971,2.975626,0.134902,0.373581
0.810000,-0.006188,-0.015701,0.088925,2.965643,0.092105,0.358701
0.820000,-0.006089,-0.015702,0.089008,3.020015,0.373851,0.338967
0.830000,-0.006161,-0.015707,0.088965,2.979612,0.062070,0.386579
0.840000,-0.006119,-0.015698,0.088937,2.968360,0.011630,0.391338
0.851000,-0.006157,-0.015733,0.088965,2.914164,-0.056984,0.353943
0.860000,-0.006141,-0.015742,0.088971,2.946884,0.051778,0.365348
0.871000,-0.006162,-0.015736,0.088985,2.959247,0.214014,0.412861
0.881000,-0.006117,-0.015790,0.088949,2.839661,-0.078500,0.357963
0.891000,-0.006111,-0.015685,0.088952,2.936646,0.022666,0.397364
0.900000,-0.006129,-0.015736,0.088951,2.993319,0.016650,0.384061
0.910000,-0.006129,-0.015753,0.088967,2.905573,0.009041,0.359468
0.921000,-0.006127,-0.015715,0.088947,2.981162,0.065314,0.402886
0.931000,-0.006122,-0.015737,0.088961,2.937171,-0.018878,0.378250
0.940000,-0.006211,-0.015741,0.088976,2.947970,0.063042,0.428274
0.950000,-0.006126,-0.015709,0.088968,2.944461,0.098383,0.379146
0.961000,-0.006121,-0.015670,0.088970,2.977729,0.229589,0.385626
0.970000,-0.006134,-0.015721,0.088974,2.966295,0.075421,0.376957
0.980000,-0.006168,-0.015772,0.088958,2.886724,-0.029119,0.366688
0.990000,-0.006115,-0.015712,0.088963,2.968326,0.070858,0.388962
1.000000,-0.006109,-0.015797,0.088961,2.929225,0.437532,0.292542
1.011000,-0.006132,-0.015730,0.088973,2.945228,0.093836,0.362867
1.021000,-0.006116,-0.015790,0.088955,2.883044,-0.027969,0.357047
1.030000,-0.006145,-0.015729,0.088955,2.990476,0.044241,0.396308
1.040000,-0.006111,-0.015759,0.088979,2.959439,0.069960,0.352464
1.050000,-0.006136,-0.015710,0.088995,2.980555,0.012000,0.363386
1.060000,-0.006226,-0.015727,0.088960,2.945752,-0.019214,0.419820
1.070000,-0.006099,-0.015793,0.088946,2.991591,0.019944,0.387628
1.081000,-0.006112,-0.015723,0.088936,2.955419,-0.007925,0.389621
1.091000,-0.006112,-0.015697,0.088951,2.957681,0.024904,0.374114
1.100000,-0.006136,-0.015710,0.088947,2.976955,-0.017793,0.404990
1.110000,-0.006135,-0.015775,0.088946,2.946240,-0.147064,0.390390
1.120000,-0.006121,-0.015734,0.088973,2.919712,-0.089467,0.397480
1.130000,-0.006141,-0.015755,0.088969,2.929543,0.046033,0.336647
1.140000,-0.006161,-0.015867,0.088877,2.747879,0.654019,0.272030
1.150000,-0.006171,-0.015708,0.088974,2.961411,0.153728,0.394374
1.160000,-0.006103,-0.015725,0.088923,2.945779,-0.123347,0.416037
1.170000,-0.006224,-0.015726,0.088968,2.945362,-0.069961,0.424306
1.180000,-0.006215,-0.015738,0.088961,2.933588,-0.005785,0.413901
1.190000,-0.006130,-0.015747,0.088957,2.959457,-0.012752,0.357996
1.201000,-0.006172,-0.015708,0.088971,2.957684,-0.026074,0.370058
1.211000,-0.006157,-0.015760,0.088941,2.953926,-0.082944,0.395386
1.220000,-0.006111,-0.015753,0.088952,2.949599,-0.009495,0.362772
1.230000,-0.006146,-0.015706,0.088964,2.892334,-0.104615,0.384088
1.240000,-0.006118,-0.015698,0.088987,2.983913,0.201071,0.401092
1.250000,-0.006120,-0.015635,0.088901,2.952731,-0.042267,0.420204
1.260000,-0.006128,-0.015700,0.088973,2.952907,0.134766,0.391396
1.271000,-0.006120,-0.015696,0.088853,2.918614,0.077621,0.478416
1.280000,-0.006107,-0.015704,0.088896,2.995359,0.024865,0.435496
1.291000,-0.006112,-0.015724,0.089004,2.996379,0.355163,0.371461
1.301000,-0.006192,-0.015716,0.088976,2.949114,-0.148231,0.383750
1.311000,-0.006159,-0.015733,0.088935,2.949164,-0.080695,0.397864
1.320000,-0.006184,-0.015732,0.088976,2.939959,0.091675,0.410212
1.331000,-0.006095,-0.015657,0.088917,2.949466,0.032338,0.427137
1.340000,-0.006127,-0.015738,0.088965,2.932491,0.028780,0.352440
1.351000,-0.006153,-0.015738,0.088986,2.965655,0.072118,0.359575
1.360000,-0.006143,-0.015738,0.088960,2.930824,0.062268,0.349205
1.371000,-0.006161,-0.015744,0.088965,2.952620,-0.004485,0.379347
1.381000,-0.006118,-0.015805,0.088940,2.839702,-0.073686,0.374467
1.390000,-0.006137,-0.015734,0.088972,2.951926,0.074927,0.358443
1.401000,-0.006144,-0.015745,0.088947,2.970219,0.055057,0.399482
1.411000,-0.006128,-0.015712,0.088978,2.971235,0.103175,0.361049
1.420000,-0.006130,-0.015738,0.088961,2.950712,0.021060,0.383107
1.430000,-0.006098,-0.015656,0.088943,2.972973,-0.014826,0.406727
1.441000,-0.006193,-0.015719,0.088968,2.938297,-0.071550,0.387577
1.451000,-0.006125,-0.015729,0.088937,2.901394,-0.217332,0.358513
1.460000,-0.006124,-0.015704,0.088974,2.949647,0.197304,0.403831
1.470000,-0.006120,-0.015743,0.088936,2.877005,-0.009783,0.421976
1.480000,-0.006143,-0.015657,0.088975,2.974523,0.190482,0.418093
1.490000,-0.006193,-0.015738,0.088978,2.940913,0.128913,0.412236
1.500000,-0.006115,-0.015746,0.088983,2.941744,0.063687,0.347181
1.511000,-0.006111,-0.015719,0.088957,2.934753,0.006999,0.396746
1.521000,-0.006052,-0.015778,0.089000,2.944730,0.869123,0.088036
1.530000,-0.006129,-0.015689,0.088871,2.924719,0.056686,0.475360
1.540000,-0.006107,-0.015756,0.088975,2.930116,0.162292,0.357500
1.551000,-0.006175,-0.015744,0.089001,2.978788,0.282821,0.442023
1.561000,-0.006110,-0.015726,0.088955,2.912836,-0.002447,0.379504
1.570000,-0.006118,-0.015743,0.088954,2.961427,-0.046036,0.371720
1.580000,-0.006119,-0.015703,0.088975,2.971040,0.193624,0.390240
